Benchmark,Strategy,Sampling time,Approx n combinations,Approx coverage
at91sam7xek.cnf,5,2.569172406196594,2.6071466939750778e+17,0.8895506095870119
atlas_mips32_4kc.cnf,3,880.5994540691376,1.6404883596485283e+17,0.892182998122667
atlas_mips32_4kc.cnf,5,2.3098365306854247,1.6249130839190368e+17,0.8837123521011968
atlas_mips64_5kc.cnf,3,888.7995083808898,1.5802524116306406e+17,0.89078688754584
atlas_mips64_5kc.cnf,5,9.422500157356263,1.5652662478950832e+17,0.8823392002953745
axtls.cnf,3,65.00076341629028,30035119525.4,0.9855395706566838
axtls.cnf,5,4.440144753456115,29965631464.3,0.9832594654004239
brutus.cnf,3,907.0574923276902,1.6418967778803926e+17,0.9047210766892809
brutus.cnf,5,2.775524377822876,1.625271871179041e+17,0.895560389066687
buildroot.cnf,3,153.13413829803466,2519027560019988.5,1
buildroot.cnf,5,1.4584070920944214,2519249646603205.0,1
busybox_1_28_0.cnf,3,242.44939057826997,8.168347793853237e+16,0.9874879094996951
busybox_1_28_0.cnf,5,2.33946430683136,8.175467899060125e+16,0.988348673265344
calm16_ceb.cnf,3,839.2297588586807,1.2923618235108483e+17,0.8976327523649168
calm16_ceb.cnf,5,2.5513416051864626,1.2817263300557968e+17,0.8902456823593343
calm32_ceb.cnf,3,834.3191952466965,1.2971124769526405e+17,0.9009324027003803
calm32_ceb.cnf,5,2.504060244560242,1.291163323221527e+17,0.8968003128005145
ceb_v850.cnf,3,845.928044962883,1.4201334716974694e+17,0.8963495644009849
ceb_v850.cnf,5,2.5200875282287596,1.4101816139702518e+17,0.8900682228816489
cerf.cnf,3,916.7248696804047,2.1457068161094054e+17,0.8934171645223974
cerf.cnf,5,2.608581209182739,2.13671049596488e+17,0.8896713280575484
cerfpda.cnf,3,935.088827419281,2.3178301476425974e+17,0.8957940571842307
cerfpda.cnf,5,1.6622548341751098,2.2894212372358035e+17,0.8848145929903732
cma230.cnf,3,886.8604235649109,1.5735045033697424e+17,0.9041991059888189
cma230.cnf,5,8.932607913017273,1.5522184159883018e+17,0.8919672622673167
cma28x.cnf,3,878.04942715168,1.525598672961784e+17,0.8969822546613524
cma28x.cnf,5,2.100189709663391,1.5141162935138858e+17,0.8902311406307813
cme555.cnf,3,959.5235358715057,2.050432725621804e+17,0.8867438091024684
cme555.cnf,5,1.8689928293228149,2.0216203353439242e+17,0.8742834106777377
cq7708.cnf,3,948.3150202035904,1.7836987078410285e+17,0.8998183597026056
cq7708.cnf,5,3.756603407859802,1.7598829766217658e+17,0.8878040928835341
cq7750.cnf,3,946.6070543289185,1.999636011335611e+17,0.9015398743774237
