Benchmark,Strategy,Preprocessing,Sampling time,Coverage time, N combinations, Coverage, Approx Coverage time, Approx n combinations, Approx coverage
aeb.cnf,3,approx,851.9670067787172,13748.580228948598,2503322.4,0.9194717042672241,159.06646485328662,2509103.4,0.9197808892877252
aeb.cnf,4,-,853.0641282558441,13748.348757934558,2487805.8,0.9137724484916067,159.18891034126278,2486520.2,0.9115023959506383
aeb.cnf,5,-,739.1495797634126,13748.966446733499,2664232.2,0.9785739629452508,158.8549112796784,2663533.2,0.9763913816159908
aim711.cnf,1,exact,3547.1631799697875,15474.30674800874,2761593.6,0.9244378744574572,160.85349650382997,2757543.4,0.9215994101856605
aim711.cnf,1,approx,3650.716805601118,15474.38033275602,2762412.8,0.924712100001272,160.673840856552,2767641.2,0.9249741989647504
aim711.cnf,2,-,3773.2383938312537,15474.061701107019,2753049.0,0.9215775868821641,160.80345411300638,2750367.0,0.9192009833803902
aim711.cnf,3,exact,3527.20009818077,15473.36058359144,2764309.2,0.9253469160672999,160.8295009613038,2763782.6,0.9236846150966802
aim711.cnf,3,approx,3724.5106756687155,15474.365674209621,2762124.2,0.9246154917347376,160.91784439086942,2762303.8,0.9231903849033195
aim711.cnf,4,-,3755.76229147911,15472.986955594999,2756666.0,0.9227883703196371,160.8960874080658,2759058.2,0.9221056719498633
aim711.cnf,5,-,3081.719004583358,15473.810580444358,2923054.0,0.9784864169312846,160.6596973896028,2923723.2,0.9771384111909652
aki3068net.cnf,1,exact,639.7597499847413,12892.273360204701,2511326.4,0.9214608631839656,160.22462172508241,2509520.8,0.9192437757876972
aki3068net.cnf,1,approx,649.3808249473573,12891.26306438446,2510846.8,0.9212848874008165,160.2916773319246,2510375.8,0.9195569644364217
aki3068net.cnf,2,-,651.7186148643493,12891.75282244682,2505104.0,0.9191777278356188,160.2737740039822,2501168.6,0.9161843439375469
aki3068net.cnf,3,exact,647.3937486171723,12891.316970253,2512190.6,0.9217779571618584,160.31312212944022,2518399.2,0.9224959560202549
aki3068net.cnf,3,approx,649.1706529140472,12890.82291703226,2513582.2,0.9222885657936979,160.1154676437376,2509882.4,0.9193762307764441
aki3068net.cnf,4,-,654.5169260025025,12891.114811849598,2506117.6,0.919549639957804,160.377975177765,2503010.0,0.9168588533852212
aki3068net.cnf,5,-,522.1935316562655,12891.7223200798,2650849.0,0.972654772279044,160.058179807663,2649601.8,0.9705557981292197
am31_sim.cnf,1,exact,587.1558940410616,11637.91946668626,2317346.0,0.9200176591607292,157.45944471359283,2323229.6,0.9222678480691059
am31_sim.cnf,1,approx,578.040875482559,11637.656845808,2319663.6,0.9209377776613203,157.6319402694702,2321636.8,0.921635543699187
am31_sim.cnf,2,-,576.8784378051757,11637.675943088521,2312566.0,0.9181199346039355,157.64789896011362,2314591.2,0.9188386051829266
am31_sim.cnf,3,exact,584.4683813095094,11637.67043719292,2319149.0,0.9207334745113359,157.62519044876097,2318604.0,0.920431592987805
am31_sim.cnf,3,approx,578.7015118122101,11638.177658033379,2320433.0,0.9212432398525332,157.58954272270222,2322708.6,0.922061023246951
am31_sim.cnf,4,-,588.7909561634066,11638.24027171134,2309903.8,0.9170630052493124,157.8613335132598,2308464.2,0.9164063293953252
