Benchmark,Strategy,Preprocessing,Sampling time,Approx Coverage time,Approx n combinations,Approx coverage
FM-361.cnf,3,approx,9.556687021255494,143.1523492813112,1221447.6,0.9940166015624999
FM-361.cnf,4,-,9.788384723663338,137.24571943283098,1220242.8,0.9930361328125
FM-361.cnf,5,-,0.42393550872802716,140.1502252101898,1220134.8,0.9929482421875001
XSEngine.cnf,3,approx,2161.3475872039803,462.3878610610962,1217607821731.6,0.9082784552719412
XSEngine.cnf,4,-,2065.5727800369277,466.9436331272126,1056129327205.4,0.7878230549778504
XSEngine.cnf,5,-,1511.891740703582,465.4785663127897,1177992582937.0,0.8787273409842407
aaed2000.cnf,3,approx,1420.168303728106,348.10449314117443,1246023894897.4,0.8708819375821786
aaed2000.cnf,4,-,1456.2892121314999,348.6431853294372,1109018663914.2,0.775125041180631
aaed2000.cnf,5,-,895.4618450641632,348.27170987129216,1247536498651.8,0.8719391398507872
adder.cnf,3,approx,2041.1768781185158,383.40785336494434,1269920853525.8,0.9062880910831679
adder.cnf,4,-,2061.200440359116,384.0430321216582,1113186886674.6,0.7944337757287183
adder.cnf,5,-,1466.125046777724,382.80711131095876,1203625044050.8,0.8589756129479387
adderII.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
adderII.cnf,4,-,4059.673301935196,464.67908134460487,1126606539262.0,0.7954769543018348
adderII.cnf,5,-,3104.8318206787103,464.86392002105714,1217349585898.2,0.8595490148186492
aeb.cnf,3,approx,1118.1772115230538,452.6285315036772,1020271702792.2,0.9114648144381295
aeb.cnf,4,-,1134.235644721984,452.47484416961663,881082543770.8,0.7871194850008408
aeb.cnf,5,-,739.1495797634126,451.36734108924884,986433513209.2,0.8812352990014233
aim711.cnf,3,approx,3940.8507321834563,464.81580147743216,1233530169372.2,0.9146612207050833
aim711.cnf,4,-,3870.155931329728,464.417784023285,1047563252864.0,0.7767669631607214
aim711.cnf,5,-,3081.719004583358,462.58054676055946,1186837570723.0,0.8800387117962775
aki3068net.cnf,3,approx,924.2592461585998,438.2367149353028,1010375335251.0,0.9026238451356725
aki3068net.cnf,4,-,920.7774928569795,442.8950600624086,886366901125.4,0.7918402920000489
aki3068net.cnf,5,-,522.1935316562655,441.2867655277252,965188112172.4,0.8622556140207699
am31_sim.cnf,3,approx,871.8873551368712,478.83647532463084,883080903297.4,0.9209778056581154
am31_sim.cnf,4,-,870.1847051620487,480.44366216659563,783700061566.2,0.8173320930169566
am31_sim.cnf,5,-,475.4012643337248,479.23216443061835,842092817741.6,0.8782307402959797
asb.cnf,3,approx,1568.198694992066,436.27234015464785,1070622390654.4,0.8936543144120404
asb.cnf,4,-,1561.086810922622,440.24786682128877,932933698865.4,0.7787248168253336
asb.cnf,5,-,1073.515231513978,439.4336220741272,1077079438374.4,0.899044047154147
asb2305.cnf,3,approx,1047.822522497178,451.8415391921996,1115717230503.0,0.9142918113989484
asb2305.cnf,4,-,1073.097959089278,452.4672995567322,957066511845.2,0.7842830161811942
asb2305.cnf,5,-,649.4644297599795,455.6398730754854,1096383499102.2,0.8984484849536191
assabet.cnf,3,approx,1173.66070342064,469.36738348007236,1209233707023.4,0.9238610741073435
assabet.cnf,4,-,1190.2478332519538,474.8178673744204,1025315095448.6,0.7833462629083716
assabet.cnf,5,-,737.2730566501616,469.54061660766604,1133414747817.2,0.8659349803480458
at91sam7sek.cnf,3,approx,1419.674038982394,415.23265686035154,1317871977481.4,0.9231770764058439
at91sam7sek.cnf,4,-,1403.16373243332,406.07769346237177,1188670811820.6,0.8326708994622279
at91sam7sek.cnf,5,-,922.1352696895603,409.47668666839616,1271997925044.8,0.8910420326876796
at91sam7xek.cnf,3,approx,1644.084913492202,493.28234481811523,1436299169782.4,0.9124541887584033
at91sam7xek.cnf,4,-,1655.9554512500758,493.5837574481966,1263403061240.4,0.8026165018905091
at91sam7xek.cnf,5,-,1155.012926578524,493.1352503299714,1413525799406.6,0.8979866894875563
atlas_mips32_4kc.cnf,3,approx,966.0795199871063,425.497509765625,1043668898378.8,0.9048102448073021
atlas_mips32_4kc.cnf,4,-,961.7722103595734,424.0007269382477,894200046729.2,0.775228009998715
atlas_mips32_4kc.cnf,5,-,577.398407649994,428.01443276405325,990297697473.6,0.8585400058151205
atlas_mips64_5kc.cnf,3,approx,1687.657988882064,436.22055201530486,1019962651689.4,0.9066229947821546
atlas_mips64_5kc.cnf,4,-,1685.14253153801,437.10507073402425,877011718594.8,0.7795569665756666
atlas_mips64_5kc.cnf,5,-,1218.5559060096741,437.8244733810426,973870490754.0,0.8656526583546217
axtls.cnf,3,approx,16.10063095092774,180.07796821594238,36720732.8,0.9834382027479158
axtls.cnf,4,-,16.0454625606537,182.03874673843399,34717716.0,0.9297943048280496
axtls.cnf,5,-,0.8538970470428466,180.9887645244596,36815799.6,0.9859842391639703
brutus.cnf,3,approx,1123.05501961708,440.41787786483764,1060087796767.6,0.9252893122812103
brutus.cnf,4,-,1121.5656324863442,442.0262197971348,906093816754.2,0.7908768755976447
brutus.cnf,5,-,668.4724981784824,442.22457599639904,1007597608425.4,0.8794736634068814
buildroot.cnf,3,approx,80.94236016273499,282.5528959274292,62312868391.2,0.9914939629987032
buildroot.cnf,4,-,83.35075402259825,282.82293624877923,62326914107.2,0.9917174520304162
buildroot.cnf,5,-,12.862403631210341,282.9694920539856,62338302525.0,0.9918986593442234
busybox_1_28_0.cnf,3,approx,144.3022283554078,324.9182653427124,629051579967.6,0.9842082100316837
busybox_1_28_0.cnf,4,-,138.0315607070922,324.9081340789794,628216245268.2,0.9829012531851303
busybox_1_28_0.cnf,5,-,19.34783821105956,325.2418500900268,631980820314.2,0.9887912720413657
calm16_ceb.cnf,3,approx,1944.1062716007218,495.23711261749287,901471809545.6,0.9198148963125524
calm16_ceb.cnf,4,-,2033.56781139374,495.79844212532043,809643942476.4,0.8261185220804681
calm16_ceb.cnf,5,-,1456.5058804988862,500.8846651554106,870946436636.4,0.8886683952017407
calm32_ceb.cnf,3,approx,1970.7583272933978,459.8080387592314,902758917266.2,0.9176095597112568
calm32_ceb.cnf,4,-,1959.5926062107078,460.1228825569153,799070512111.4,0.8122154506290837
calm32_ceb.cnf,5,-,1457.88284673691,459.1896204471588,867212760521.8,0.8814786585195735
ceb_v850.cnf,3,approx,1044.9883407592774,456.6834474086762,954133954887.2,0.9085955944719796
ceb_v850.cnf,4,-,1044.7332669258117,459.2570572376252,824726168138.4,0.7853641086537962
ceb_v850.cnf,5,-,637.6241711616518,449.87296051979047,909755196117.8,0.8663349197528006
cerf.cnf,3,approx,2787.8298239707938,339.8331245899202,1226483991873.6,0.8868417927301173
cerf.cnf,4,-,2774.9132843017583,340.09528179168683,1081366642783.8,0.7819108430595538
cerf.cnf,5,-,2159.087370252608,336.67084403038,1182316978315.8,0.854905661689956
cerfpda.cnf,3,approx,2635.772046279908,407.9881801605226,1322633573225.6,0.9057341946245115
cerfpda.cnf,4,-,2659.644383621216,408.8100570678712,1125617354088.0,0.7708182737066902
