Benchmark,Strategy,Sampling time,Approx n combinations,Approx coverage
FM-361.cnf,3,18.17210748195648,15267806.0,0.9987919880007369
FM-361.cnf,5,0.2409719705581665,15276832.2,0.9993824655220056
XSEngine.cnf,3,349.885719537735,574184165017840.6,0.936502947187875
XSEngine.cnf,5,2.392995524406433,573084601503287.8,0.9347095426763329
aaed2000.cnf,3,373.8991323709488,617411932727101.2,0.9273870877401853
aaed2000.cnf,5,3.269472861289978,618740140653521.6,0.9293821299729386
adder.cnf,3,342.74592385292055,609282936862819.4,0.9396178091689424
adder.cnf,5,2.972996950149536,605686909915800.8,0.934072124631857
adderII.cnf,3,345.7104555845261,615703028996565.0,0.9375950485356542
adderII.cnf,5,2.9613441228866577,616995095141542.8,0.9395626120571233
aeb.cnf,3,345.1489687919617,460463493267027.4,0.942422745397954
aeb.cnf,5,2.6398754835128786,458259778615701.9,0.9379124403636926
aim711.cnf,3,355.7734323501587,579409057444246.5,0.9380853901286843
aim711.cnf,5,2.761880087852478,578756640374116.0,0.9370291019780302
aki3068net.cnf,3,344.42458300590516,459624266638175.6,0.9433587256726396
aki3068net.cnf,5,2.3571478605270384,458918937196178.3,0.9419110678097318
am31_sim.cnf,3,321.9273670911789,378709323141470.4,0.9443019133904842
am31_sim.cnf,5,2.0945726871490478,377029854706835.0,0.9401142022373773
asb.cnf,3,342.41956174373627,498416513631057.3,0.940715285963333
asb.cnf,5,2.643969440460205,493935702240220.6,0.9322581669602518
asb2305.cnf,3,352.41091508865355,513271662324492.4,0.9442586244334955
asb2305.cnf,5,2.4096640586853026,510198621173572.7,0.9386051940515149
assabet.cnf,3,367.3005370616913,557319021364470.6,0.9386642539412212
assabet.cnf,5,2.9806573390960693,558551898373290.0,0.9407407263624413
at91sam7sek.cnf,3,386.2437286138535,625699719617359.2,0.9355866500498068
at91sam7sek.cnf,5,3.0517596006393433,625664226738508.2,0.9355335788039939
at91sam7xek.cnf,3,380.29749710559844,701331060224138.2,0.9390605571772458
at91sam7xek.cnf,5,2.569172406196594,701677024903345.6,0.9395237931621404
atlas_mips32_4kc.cnf,3,339.908918762207,476053831774746.1,0.9414915743578852
atlas_mips32_4kc.cnf,5,2.3098365306854247,474673158681898.5,0.9387610174395371
atlas_mips64_5kc.cnf,3,344.6971810817719,460879793662270.0,0.9414210679169791
atlas_mips64_5kc.cnf,5,9.422500157356263,460486103438481.4,0.9406168923466803
axtls.cnf,3,24.937617444992064,1183752380.7,1
axtls.cnf,5,4.440144753456115,1182488692.2,0.9997421056666274
brutus.cnf,3,355.16005511283873,474682234837932.2,0.9428795579816156
brutus.cnf,5,2.775524377822876,473620660743211.4,0.9407709125768916
buildroot.cnf,3,53.19096443653107,13778337443693.8,1
buildroot.cnf,5,1.4584070920944214,13778451021480.2,1
busybox_1_28_0.cnf,3,73.12023198604584,251221312737254.4,0.9988391383911376
busybox_1_28_0.cnf,5,2.33946430683136,251311789982639.3,0.9991988698678964
calm16_ceb.cnf,3,323.2791765451431,392266119155642.1,0.9475802312273165
calm16_ceb.cnf,5,2.5513416051864626,389113807791056.6,0.9399653295422459
