Benchmark,Strategy,Preprocessing,Sampling time,Approx Coverage time,Approx n combinations,Approx coverage
FM-361.cnf,3,approx,4.164465284347534,63.51296486854553,73895.0,0.9966416702632712
FM-361.cnf,4,-,3.87458448410034,64.03431696891786,74143.2,0.9999892101855844
FM-361.cnf,5,-,0.42393550872802716,63.341017293930044,74055.8,0.9988104229607242
XSEngine.cnf,3,approx,1813.4107802391038,263.3230741024018,2132383449.6,0.9164485482709696
XSEngine.cnf,4,-,1912.647318935394,264.99823846817,1892868990.4,0.8135108339190212
XSEngine.cnf,5,-,1511.891740703582,262.8835685253142,2173797707.0,0.9342474277731858
aaed2000.cnf,3,approx,1175.887637376784,220.38471193313597,2119604002.0,0.8660719355866762
aaed2000.cnf,4,-,1209.288717842102,221.0037979602812,2012657707.2,0.8223735917196784
aaed2000.cnf,5,-,895.4618450641632,220.93795108795138,2276103405.4,0.930017720314817
adder.cnf,3,approx,1858.5867797374722,243.8268456459044,2185142959.6,0.9080238423731852
adder.cnf,4,-,1934.498582696914,244.35473446845998,1987183710.6,0.8257629920610414
adder.cnf,5,-,1466.125046777724,243.38563370704642,2220548042.4,0.9227362250035105
adderII.cnf,3,approx,3885.25218153,300.5622183322906,2177558555.6,0.8955074027367017
adderII.cnf,4,-,3790.948034620286,301.1788040637968,1997529901.0,0.8214717390414916
adderII.cnf,5,-,3104.8318206787103,300.1474328517916,2248617980.2,0.9247301488253719
aeb.cnf,3,approx,937.8794953346253,305.44421544075,1829539064.4,0.9012316201344011
aeb.cnf,4,-,961.9001810550695,306.59606623649626,1691805154.8,0.8333838452977581
aeb.cnf,5,-,739.1495797634126,305.4471755504608,1910578725.4,0.9411517871312858
aim711.cnf,3,approx,3640.0242309570303,292.205858898163,2102876452.6,0.9003184123098114
aim711.cnf,4,-,3671.0712392807022,293.08895840644817,1951397742.8,0.8354648298098712
aim711.cnf,5,-,3081.719004583358,291.7710142135622,2192807929.0,0.938821370459834
aki3068net.cnf,3,approx,703.3834074020385,303.218122768402,1854396000.0,0.9120628352998887
aki3068net.cnf,4,-,733.9660709381103,304.31156001091006,1675705661.6,0.8241760966087999
aki3068net.cnf,5,-,522.1935316562655,303.0373090267182,1884179924.6,0.9267117078799817
am31_sim.cnf,3,approx,637.8452590942384,301.168269109726,1650648767.8,0.9136281690414882
am31_sim.cnf,4,-,648.3709184169768,302.56774992942803,1486125414.2,0.8225650832740226
am31_sim.cnf,5,-,475.4012643337248,301.52280097007736,1696226985.4,0.9388555489095642
asb.cnf,3,approx,1335.5298754692062,302.02823033332817,1891685778.6,0.8843392851773431
asb.cnf,4,-,1374.83776936531,301.9736598014832,1782978513.2,0.8335200072269812
asb.cnf,5,-,1073.515231513978,301.73081541061396,2025811319.6,0.9470412869546927
asb2305.cnf,3,approx,835.5679728031157,298.898354101181,1946289999.8,0.8981982990987593
asb2305.cnf,4,-,842.4439730644228,299.8436418533326,1810476554.2,0.8355214082730356
asb2305.cnf,5,-,649.4644297599795,300.0163702487944,2062732363.6,0.9519355803461302
assabet.cnf,3,approx,982.3583191394804,301.489042377472,2046728398.2,0.8966064795694276
assabet.cnf,4,-,966.5013946533211,302.32555394172675,1905397058.0,0.8346937238266557
assabet.cnf,5,-,737.2730566501616,302.5203495979308,2128643262.6,0.9324907709383666
at91sam7sek.cnf,3,approx,1162.54811463356,254.02271986007682,2206308571.6,0.9042113531593812
at91sam7sek.cnf,4,-,1218.175794029238,255.16205234527578,2003545222.6,0.8211128579940107
at91sam7sek.cnf,5,-,922.1352696895603,253.90240249633797,2302350925.6,0.9435723872363031
at91sam7xek.cnf,3,approx,1478.789516353608,305.7331905364989,2370909996.2,0.9026251376793534
at91sam7xek.cnf,4,-,1460.415524387362,306.82381992340083,2166218312.6,0.8246973127566888
at91sam7xek.cnf,5,-,1155.012926578524,306.5606184959412,2484453281.4,0.9458520098931771
atlas_mips32_4kc.cnf,3,approx,754.0283840656282,293.215110206604,1879340614.8,0.9031387634738686
atlas_mips32_4kc.cnf,4,-,766.9457157611848,295.6608238697052,1709842054.2,0.821684279265227
atlas_mips32_4kc.cnf,5,-,577.398407649994,294.60306468009964,1922748453.2,0.9239988998370796
atlas_mips64_5kc.cnf,3,approx,1477.5522091865541,297.4987892150878,1831567737.4,0.8969032656825094
atlas_mips64_5kc.cnf,4,-,1459.805528354642,299.5253850460052,1678760109.4,0.8220746596878701
atlas_mips64_5kc.cnf,5,-,1218.5559060096741,297.8115717411044,1899529434.4,0.9301835352220644
axtls.cnf,3,approx,5.711005687713624,88.37936582565308,900867.2,0.9843391608391606
axtls.cnf,4,-,5.77169246673584,88.31201462745668,877387.8,0.9586842220279721
axtls.cnf,5,-,0.8538970470428466,87.95436654090881,907740.8,0.9918496503496502
brutus.cnf,3,approx,865.6965840816498,302.3923397064208,1862069328.4,0.8991431361331216
brutus.cnf,4,-,917.7628555774694,303.46346383094794,1716530854.8,0.8288665263501904
brutus.cnf,5,-,668.4724981784824,302.7068243980408,1939624216.0,0.936592302925979
buildroot.cnf,3,approx,35.56459751129152,185.07026276588462,225964368.8,0.9893666109498296
buildroot.cnf,4,-,37.489129400253276,185.50713906288138,226004896.4,0.9895440577502914
buildroot.cnf,5,-,12.862403631210341,185.491969347,226058933.4,0.9897806543599239
