Benchmark,Approximate time,Approximate combinations, Approximate coverage
axtls,925.04624,8877576,9.14e-05
benchmark_1,157.8317,1712394,0.9930
benchmark_2,112.5071,1356962,0.9983
benchmark_3,20.5650,36560,0.9998
benchmark_4,57.3883,305644,1
benchmark_5,768.3163,9834447,0.9951
benchmark_6,49.2484,568703,0.9964
benchmark_7,19.3440,29236,0.9984
benchmark_8,199.7953,2886794,0.9975
benchmark_9,51.5723,266764,1
benchmark_10,369.9816,5634909,0.9937
benchmark_11,173.2907,1686352,0.9912
benchmark_12,264.4543,5166039,0.9962
benchmark_13,214.0245,3593293,0.9976
benchmark_14,125.9523,1375532,0.9967
benchmark_15,73.2556,355884,0.9932
benchmark_16,70.3619,827869,0.9981
benchmark_17,224.6768,4235108,0.9983
benchmark_18,357.5076,5244333,0.9948
benchmark_19,1069.5749,14515261,0.9965
benchmark_20,713.9685,7611944,0.9874
benchmark_21,103.3454,891805,0.9889
benchmark_22,69.9973,727023,0.9981
benchmark_23,22.2379,26851,0.9993
benchmark_24,180.9997,2941331,0.9902
benchmark_25,384.5441,4733581,0.9897
benchmark_26,119.1528,1414824,0.9971
benchmark_27,63.63411,442855,0.9945
benchmark_28,1232.7999,14013483,0.9922
benchmark_29,243.7681,4613568,0.9991
benchmark_30,60.5915,654732,1
benchmark_apache,350.0376,8142361,0.9999
benchmark_bugzilla,34.6320,208228,0.9992
benchmark_gcc,568.8394,11204884,0.9983
benchmark_spins,20.4083,13694,0.9905
benchmark_spinv,93.1657,375829,0.9928
DuneSystem,14.5451,4553,0.8882
fiasco,991.1749,12895337,0.1257
HiPAcc,33.2012,47035,0.7796
HSMGP,18.7807,6677,0.8993
Trimesh,39.5334,14316,0.5013
uClibc,3421.6086,41865974,0.0053


