Benchmark,Strategy,Preprocessing,Sampling time,Approx Coverage time,Approx n combinations,Approx coverage
FM-361.cnf,3,approx,63.643304443359376,586.5477263450623,149379892.8,0.9905937741912483
FM-361.cnf,4,-,61.87695727348328,586.8581829071045,149765189.4,0.9931488196262326
FM-361.cnf,5,-,0.4239355087280273,606.4809715270997,150118469.8,0.9954915536999029
XSEngine.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
XSEngine.cnf,4,-,3971.3470549583435,1404.198650789261,1.4301867137563075e+17,0.6194506432430077
XSEngine.cnf,5,-,1511.8917407035829,1288.1973379611968,1.637843446836656e+17,0.7093921142713013
aaed2000.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
aaed2000.cnf,4,-,3342.7050091743467,1010.1693907260894,1.5422513767458896e+17,0.6123696632929898
aaed2000.cnf,5,-,895.4618450641632,962.1706113815308,1.7771193145354218e+17,0.7056268340442093
adder.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
adder.cnf,4,-,3884.776534843445,1180.8778985977174,1.5640606154736026e+17,0.6420172782283303
adder.cnf,5,-,1466.1250467777252,1096.6069169044495,1.667664133536732e+17,0.6845445613935222
adderII.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
adderII.cnf,4,-,6365.866325616837,1281.0718918323516,1.5224226157611987e+17,0.6097780892818545
adderII.cnf,5,-,3104.8318206787108,1221.2944147109986,1.6932200646340355e+17,0.6781878336916354
aeb.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
aeb.cnf,4,-,2936.3010892391203,1297.132763004303,1.0648316934206432e+17,0.6079617714481029
aeb.cnf,5,-,739.1495797634125,1244.0477371692657,1.241020033866038e+17,0.7085558617888845
aim711.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
aim711.cnf,4,-,5826.389499473572,1347.2927809238433,1.369320817207437e+17,0.589494674093807
aim711.cnf,5,-,3081.7190045833586,1241.7960401535033,1.6212234474160067e+17,0.6979391357803031
aki3068net.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
aki3068net.cnf,4,-,2649.1017042160033,1299.6921630382537,1.097289216380986e+17,0.6242360942573277
aki3068net.cnf,5,-,522.1935316562652,1244.544818162918,1.1878240610804944e+17,0.6757403986883961
am31_sim.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
am31_sim.cnf,4,-,2596.23085064888,1281.2140270709992,7.958925342741602e+16,0.5795702369194989
am31_sim.cnf,5,-,475.40126433372495,1217.7548547267913,9.781165035418522e+16,0.7122660274852486
asb.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
asb.cnf,4,-,3456.993256855011,1337.1876085281372,1.1356739797226661e+17,0.5883666762549791
asb.cnf,5,-,1073.5152315139771,1276.3778677940368,1.435079369433057e+17,0.7434817507764081
asb2305.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
asb2305.cnf,4,-,2825.7744899749755,1324.7952157497407,1.2450334073822102e+17,0.6249731143723596
asb2305.cnf,5,-,649.4644297599792,1284.5828337669373,1.4822774450460362e+17,0.7440632080243744
assabet.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
assabet.cnf,4,-,3053.981768321991,1337.2460466384887,1.4240778648068267e+17,0.6430684346966918
assabet.cnf,5,-,737.2730566501617,1292.827782678604,1.5220920446446374e+17,0.6873285322405371
at91sam7sek.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
at91sam7sek.cnf,4,-,3230.413305902481,1183.1054454803466,1.674857330724404e+17,0.6582177598345005
at91sam7sek.cnf,5,-,922.1352696895599,1163.9039349079133,1.8581764230312125e+17,0.7302620349256167
at91sam7xek.cnf,3,approx,-1.0,-1.0,-1.0,-1.0
at91sam7xek.cnf,4,-,3594.3407793521883,1214.1082400321961,1.8706650515317146e+17,0.6382652885503737
