Benchmark,Uniform Combinations,Uniform Coverage,Baital_waps_strategy_5 Combinations,Baital_waps_strategy_5 Coverage,Baital_cmsgen_strategy_5 Combinations,Baital_cmsgen_strategy_5 Coverage
cq7750.cnf,2263740,0.7685880292246385,2880443,0.9779718557183711,2935092,0.9965263572110766
csb281.cnf,2207147,0.76810779659271,2795704,0.9729311366055029,2862051,0.996020513063227
dreamcast.cnf,2285524,0.7859327932215513,2847515,0.9791870125582867,2895994,0.9958576910909066
e7t.cnf,2306841,0.7693111406065538,2923623,0.9750025011838938,2986697,0.9960371242388064
ea2468.cnf,2666446,0.773950501575942,3364201,0.976477697786599,3432437,0.9962835691320288
eb40.cnf,2235648,0.7857380844934987,2779311,0.9768132109132164,2835395,0.9965244242753974
eb40a.cnf,2229868,0.7824079028577825,2785725,0.9774449676790268,2840099,0.9965235173106592
eb42.cnf,2227622,0.7908744302199381,2756902,0.9787851342921768,2806159,0.9962728866170073
eb55.cnf,2352291,0.791310587313954,2899355,0.9753428924744639,2963132,0.9967974724252957
ebsa285.cnf,2276500,-1,2852119,-1,2916087,-1
ec555.cnf,2302489,0.7695710970108747,2902326,0.9700572744118142,2978292,0.9954477270721866
ecos-icse11.cnf,2292682,0.7878012348856396,2855607,0.9812310302728754,2900415,0.9966277567847753
edb7xxx.cnf,2219513,0.7698289182744418,2802185,0.9719262952525471,2870468,0.9956099718187731
edosk2674.cnf,2109322,0.7915183499905812,2596911,0.9744850287402257,2655406,0.9964351463053481
embtoolkit.cnf,7658216,0.9275262477801101,8015072,0.9707469282463986,8236523,0.9975680070847539
excalibur_arm9.cnf,2181394,0.7758679989315513,2743923,0.9759456784204317,2799001,0.9955355634412725
fads.cnf,2036733,0.7783064399639571,2558952,0.9778644629210839,2606373,0.995985674532783
financial.cnf,436775,0.47623071471405987,636948,0.6944861800141744,883826,0.9636657035381344
flexanet.cnf,2387140,0.797366007277751,2914671,0.9735748962349295,2982858,0.996351103720979
freebsd-icse11.cnf,3545110,-1,-1,-1,3765440,-1
frv400.cnf,2217146,0.7703944771530709,2816792,0.9787542183008934,2867262,0.9962910919492303
gps4020.cnf,2096561,0.771418426668629,2659645,0.9786021782323938,2707992,0.996391198763706
grg.cnf,2244995,0.781138439612471,2813717,0.9790233416515773,2862665,0.996054633187706
h8300h_sim.cnf,2040293,0.7907156188863982,2523522,0.9779910336424432,2572212,0.9968608447350553
h8max.cnf,2137496,0.7910876911706306,2635713,0.9754779011321735,2693209,0.9967571820719023
h8s_sim.cnf,2036361,0.7877986362976933,2526856,0.977554427196673,2575928,0.9965387107693796
hs7729pci.cnf,2398610,0.7614124895126072,3057123,0.9704502333335767,3136523,0.99565489422772
innovator.cnf,2291387,0.7763426579231344,2865837,0.9709715180170184,2939810,0.9960342400428255
integrator_arm7.cnf,2285375,0.7728433262317811,2885920,0.9759291197456968,2945269,0.9959991207602042
integrator_arm9.cnf,2337666,0.779518996737757,2926673,0.9759294958045682,2987134,0.9960908439448763
ipaq.cnf,2287323,0.7894262196068957,2832334,0.9775264456677423,2888055,0.9967574936582168
iq80310.cnf,2333377,0.7881672414550196,2897483,0.9787107626726477,2950282,0.9965451898490463
iq80321.cnf,2267814,0.7685540712644972,2892482,0.980251827160109,2938934,0.9959942441830122
ixdp425.cnf,2287389,0.7879782614237417,2838893,0.9779648194985769,2892059,0.9962798731457068
jmr3904.cnf,2090501,0.7846380663944988,2606563,0.9783341659513408,2653650,0.9960075622483614
jtst.cnf,2245490,0.7878942690655999,2789548,0.9787925497256306,2840091,0.9965270041393143
