Benchmark,Strategy,Sampling time,Approx coverage
gps4020.cnf,3,128.73905882835388,1086241126278.3
gps4020.cnf,5,2.4173187732696535,1085328956774.4
grg.cnf,3,126.9664510011673,1215602445861.1
grg.cnf,5,2.418987822532654,1213870380472.8
h8300h_sim.cnf,3,128.12963807582855,982438317357.2
h8300h_sim.cnf,5,2.135444450378418,978467382354.1
h8max.cnf,3,121.87509701251983,1066903941459.1
h8max.cnf,5,1.8708662271499634,1070491536576.7
h8s_sim.cnf,3,123.4176884651184,983122661893.3
h8s_sim.cnf,5,1.6308987617492676,981728648060.9
hs7729pci.cnf,3,141.08092725276947,1450613688513.6
hs7729pci.cnf,5,3.767281723022461,1447324417687.8
innovator.cnf,3,130.9690263748169,1275088920621.9
innovator.cnf,5,3.2011280059814453,1273015738214.9
integrator_arm7.cnf,3,132.70154225826263,1281226963077.8
integrator_arm7.cnf,5,2.8279945611953736,1280717456990.0
integrator_arm9.cnf,3,128.0700197696686,1322354498680.2
integrator_arm9.cnf,5,3.7123943090438845,1319373086642.2
ipaq.cnf,3,138.55216538906097,1237618627190.2
ipaq.cnf,5,2.551805353164673,1237941667834.3
iq80310.cnf,3,129.73465707302094,1284278267599.4
iq80310.cnf,5,2.6537734031677247,1289085196018.3
iq80321.cnf,3,128.778816986084,1281419294673.0
iq80321.cnf,5,2.751425337791443,1280973325427.1
ixdp425.cnf,3,127.75638689994813,1242541428108.9
ixdp425.cnf,5,8.475400400161742,1239623266917.8
jmr3904.cnf,3,120.54797706604003,1041881379142.0
jmr3904.cnf,5,2.7470370531082153,1041360924327.2
jtst.cnf,3,124.4423305273056,1195293293920.0
jtst.cnf,5,2.526544189453125,1195453302532.7
linux.cnf,3,127.27944931983947,1146213715406.1
linux.cnf,5,2.3995164155960085,1149393224739.0
lpcmt.cnf,3,134.51139035224915,1230053750218.9
lpcmt.cnf,5,1.8653992891311646,1225971605423.4
m5272c3.cnf,3,143.60868952274322,1576871546292.0
m5272c3.cnf,5,2.0855427503585817,1576548883693.2
mac7100evb.cnf,3,129.00830211639405,1173525228785.7
mac7100evb.cnf,5,2.0313248157501222,1169150301234.5
mace1.cnf,3,135.0050166606903,1172830391621.0
mace1.cnf,5,2.1545788049697876,1169374352497.5
malta_mips32_4kc.cnf,3,124.333571434021,1180868840660.3
malta_mips32_4kc.cnf,5,9.959216165542603,1179599404761.9
malta_mips64_5kc.cnf,3,124.87318954467773,1182433955421.4
malta_mips64_5kc.cnf,5,2.1687654495239257,1181184531934.0
mb93091.cnf,3,125.13902518749236,1260536588642.3
mb93091.cnf,5,1.9498039960861206,1259854514115.9
mb93093.cnf,3,127.6980273962021,1185404937140.0
mb93093.cnf,5,2.243923544883728,1182984631368.0
mbx.cnf,3,127.4830334186554,1461410930191.3
mbx.cnf,5,2.0410897493362428,1457035698613.1
mcb2100.cnf,3,134.20412075519562,1231801064117.5
mcb2100.cnf,5,2.261141777038574,1226180226652.4
moab.cnf,3,126.09058275222779,1376485676985.5
moab.cnf,5,1.520157551765442,1372817071710.5
mpc50.cnf,3,130.03509633541108,1093424976416.4
mpc50.cnf,5,1.92865948677063,1087592411120.8
nano.cnf,3,124.88555843830109,1331817255319.5
nano.cnf,5,2.0459912538528444,1332880574521.8
npwr.cnf,3,136.07932093143464,1293372541265.4
npwr.cnf,5,2.0971935987472534,1289515263477.9
ocelot.cnf,3,134.17296295166017,1310043050338.8
ocelot.cnf,5,2.0580967903137206,1306721809867.8
olpce2294.cnf,3,129.8099719285965,1352640282156.2
olpce2294.cnf,5,7.218992614746094,1353161409300.5
olpch2294.cnf,3,133.04162759780883,1279334569667.9
olpch2294.cnf,5,2.0200427293777468,1276291021432.6
olpcl2294.cnf,3,129.20506067276,1354243710800.7
olpcl2294.cnf,5,1.7148743391036987,1348070935957.5
p2106.cnf,3,132.62715394496917,1227029631225.2
p2106.cnf,5,2.105007863044739,1226023348059.4
pati.cnf,3,131.2705549955368,1233862420313.8
pati.cnf,5,2.363252067565918,1232875560682.8
pc_i82544.cnf,3,128.61291606426238,1304139988680.7
pc_i82544.cnf,5,2.0039451837539675,1303819326930.9
pc_i82559.cnf,3,123.77610049247741,1305371704735.4
