Benchmark,Strategy,Preprocessing,Sampling time,Approx Coverage time,Approx n combinations,Approx coverage
mpc50.cnf,3,approx,1739.0155180931092,618.0509340763092,417389734002318.4,0.8511519095280727
mpc50.cnf,4,-,1642.4489852428437,630.9186877727509,369425613359496.0,0.7533422377795423
mpc50.cnf,5,-,722.2907189846039,629.3467579841614,393255190276496.0,0.8019361255631792
nano.cnf,3,approx,2428.266234588623,738.0565171718597,519438405188882.6,0.8234012678286156
nano.cnf,4,-,2415.086457872391,746.5899093627929,442466148368168.2,0.7013866974374263
nano.cnf,5,-,1228.1382596492767,733.8215488910676,480914161517653.4,0.7623335632381282
npwr.cnf,3,approx,2942.483400964737,726.5216947555542,513174450887498.8,0.8466747286483663
npwr.cnf,4,-,2946.2869256973268,729.215494632721,442030557332952.2,0.7292960542694868
npwr.cnf,5,-,1775.5221676826477,723.7340745449067,493884762050673.8,0.8148491145060703
ocelot.cnf,3,approx,3203.9454295158384,719.0138569831848,527766433520628.4,0.8563796165220443
ocelot.cnf,4,-,3168.632632112503,714.8576912879944,435972040637480.2,0.7074295469775558
ocelot.cnf,5,-,1960.8698085784913,712.7391075611115,484338330465169.6,0.7859110533873637
olpce2294.cnf,3,approx,3073.389317893982,756.503653049469,535480740179491.8,0.832151894224167
olpce2294.cnf,4,-,3058.606547832489,761.1362251758576,458275487209502.6,0.7121727937965826
olpce2294.cnf,5,-,1856.3596502780915,846.2620868206025,489934906631363.0,0.7613724080219375
olpch2294.cnf,3,approx,1684.733621931076,503.97180061340333,503040034152527.0,0.8435349082118389
olpch2294.cnf,4,-,1652.2844502925873,518.538564825058,440460600528827.6,0.7385970638777432
olpch2294.cnf,5,-,710.8721638679505,504.263037109375,464701570972766.6,0.7792461243702007
olpcl2294.cnf,3,approx,2666.463003349304,750.4268923282623,526564364294865.8,0.8200470881311823
olpcl2294.cnf,4,-,2795.4010689735414,747.1910254001617,478175141034584.6,0.744687940565886
olpcl2294.cnf,5,-,1492.230066728592,738.8424681186676,492309269992462.8,0.7666997820065804
p2106.cnf,3,approx,2547.2062849998474,735.2378971099854,492026757084722.4,0.8674499223631124
p2106.cnf,4,-,2600.9349714279174,729.5224352359771,418140322035511.4,0.7371871237972835
p2106.cnf,5,-,1527.095294904709,725.7919416427612,438090635841475.8,0.7723598007155911
pati.cnf,3,approx,3501.637050104141,524.9247390747071,480128069036655.4,0.8387494549076683
pati.cnf,4,-,3544.0139445781706,526.722605419159,403262800789010.2,0.7044713195480751
pati.cnf,5,-,2330.0077739715575,528.7295963287354,435393835278478.8,0.7606019426081566
pc_i82544.cnf,3,approx,2570.0919900894164,638.4686858177186,521416590158224.2,0.8498667135580847
pc_i82544.cnf,4,-,2596.638147735596,645.1536595344544,438539918385160.4,0.7147844664645803
pc_i82544.cnf,5,-,1438.4107720851898,632.3323120594025,475129810056007.2,0.7744230195346171
pc_i82559.cnf,3,approx,2565.2703585624695,736.4519072055816,532318648103422.2,0.868219663940803
pc_i82559.cnf,4,-,2641.5332686901093,763.178540277481,448392769930084.0,0.7313353034112512
pc_i82559.cnf,5,-,1536.1640441417694,735.234476184845,470231150443913.0,0.7669540281323964
pc_rltk8139.cnf,3,approx,3471.083370447159,756.6619109630585,507040420770754.4,0.8152938365095554
pc_rltk8139.cnf,4,-,3436.531002140045,753.8768888473511,446547127180557.6,0.718023860795826
pc_rltk8139.cnf,5,-,2186.5010756015777,865.2661423683167,478115980516691.2,0.7687848859454572
pc_usb_d12.cnf,3,approx,3534.14280538559,659.7377363681793,558604501914147.6,0.8531449788033967
pc_usb_d12.cnf,4,-,3554.99060587883,665.8585845947266,468564864730798.4,0.715629323105978
pc_usb_d12.cnf,5,-,2117.8569836139677,646.8331089019775,525666125630839.8,0.8028388852439148
